Rosetta 3,,,,,,,,,,,,,,,,,,,,,,,
Sand_%,Silt_%,Clay_%,bulk_density_(g/cm3),th33,th1500,Code,theta_r,theta_s,log10_alpha_(1/cm),log10_n,log10_Ksat_(cm/d),K sat (cm/d),ksat (cm/s),,,,,,,,,,
93.5,6.5,0,1.62,-9.9,-9.9,3,0.045545167,0.341915763,-1.456188517,0.478981737,2.770913599,590.0836739,0.006829672,,,,,,,,,,
78.73,21.27,0,1.62,-9.9,-9.9,3,0.046338735,0.335865368,-1.593007623,0.251789551,2.025366721,106.0148543,0.001227024,,,,,,,,,,
63.38,36.62,0,1.62,-9.9,-9.9,3,0.047154603,0.331045863,-1.758667682,0.18892789,1.666168981,46.36272788,0.000536606,,,,,,,,,,
70.71,25.16,4.13,1.62,-9.9,-9.9,3,0.052645119,0.339335541,-1.694157698,0.191138314,1.668220515,46.5822557,0.000539146,,,,,,,,,,
52.7,42.79,4.5,1.62,-9.9,-9.9,3,0.05372585,0.335269134,-1.901391463,0.166007951,1.395179359,24.84158825,0.000287518,,,,,,,,,,
75.35,24.65,0,1.62,-9.9,-9.9,3,0.046543019,0.334513164,-1.627313072,0.229099126,1.91489481,82.20435196,0.000951439,,,,,,,,,,
81.13,18.87,0,1.62,-9.9,-9.9,3,0.046191322,0.336870432,-1.569228141,0.272869377,2.117881518,131.184196,0.001518336,,,,,,,,,,
63.95,36.05,0,1.62,-9.9,-9.9,3,0.047129057,0.331153061,-1.751995228,0.189899798,1.674156791,47.22334984,0.000546567,,,,,,,,,,
49.8,44.56,5.64,1.62,-9.9,-9.9,3,0.055531886,0.336384287,-1.94137153,0.162989099,1.331145156,21.43606948,0.000248103,,,,,,,,,,
77.29,22.71,0,1.62,-9.9,-9.9,3,0.046426856,0.335276757,-1.607500287,0.241237767,1.975610995,94.538998,0.001094201,,,,,,,,,,
74.61,25.39,0,1.62,-9.9,-9.9,3,0.046586235,0.33423301,-1.634963013,0.225022184,1.893530072,78.25823918,0.000905767,,,,,,,,,,
89.14,10.86,0,1.62,-9.9,-9.9,3,0.045754295,0.340154197,-1.493379857,0.386628526,2.516186046,328.2358749,0.003799026,,,,,,,,,,
91.21,8.79,0,1.62,-9.9,-9.9,3,0.045655343,0.340982792,-1.475238611,0.428097151,2.635597183,432.1128516,0.005001306,,,,,,,,,,
89.46,10.54,0,1.62,-9.9,-9.9,3,0.04573889,0.340281743,-1.490517963,0.392741764,2.534399613,342.2942573,0.003961739,,,,,,,,,,
91.44,8.56,0,1.62,-9.9,-9.9,3,0.045644367,0.341075585,-1.473278556,0.432975897,2.649061102,445.7189533,0.005158784,,,,,,,,,,
93.06,6.94,0,1.62,-9.9,-9.9,3,0.04556647,0.34173481,-1.459773374,0.468808524,2.744715915,555.5407426,0.00642987,,,,,,,,,,
